4597	4314	3
4314	1710	3
4314	1312	4
4314	2921	4
4314	5077	3
4314	4959	6
4314	2190	26
4314	3366	4
4314	5085	7
4314	3476	4
4314	2224	16
4314	1773	3
4314	1398	5
4314	1532	8
4314	2169	3
4314	1907	4
4314	4668	153
4314	4697	10
4314	3807	14
4314	1360	3
4314	3894	14
4314	422	6
4314	2876	16
4314	3648	3
4314	1392	9
4314	752	8
4314	1835	6
4314	2300	22
4314	902	3
4314	74	16
4314	3509	8
4314	365	18
4314	4753	5
4314	8	10
4314	877	12
4314	850	3
4314	3977	3
4314	2504	6
4314	4867	14
4314	1893	10
4314	1015	6
4314	2470	4
4314	58	13
4314	3100	18
4314	1025	8
4314	2745	10
4314	5147	6
4314	2007	3
4314	17	21
4314	4224	7
4314	3347	4
4314	4353	6
4314	1232	5
4314	2992	6
4314	4769	3
4314	4568	6
4314	813	13
4314	728	3
4314	1900	3
4279	4649	8
4279	1009	3
920	4370	3
920	995	3
920	3772	3
1175	375	5
931	4239	7
931	2755	3
4239	416	3
1710	3769	16
1710	4486	43
3867	3966	5
3867	11	8
3867	1166	4
3867	2289	4
1749	3243	3
3758	520	3
3520	2574	13
3520	2096	6
3520	4543	20
2921	4250	3
2921	4959	3
2921	657	4
2921	3164	3
2921	2224	4
2921	2739	6
2921	764	8
2921	1962	4
2921	2262	4
2921	1580	3
2921	4671	3
2921	36	4
2921	4723	8
2921	4581	5
3663	2546	12
3663	2549	3
2038	2804	4
2038	3556	4
744	1584	3
1289	4719	3
1289	128	3
5077	1538	3
126	4635	7
55	995	3
3248	1773	3
3248	2126	3
4537	4668	4
3183	587	8
4596	1085	6
3881	2165	3
3881	3074	8
3881	2198	4
3881	2639	5
3323	4370	4
3382	4778	4
2807	1854	3
2807	3394	3
3589	3798	3
3589	1457	3
824	2344	4
824	622	5
824	3921	8
4593	230	5
3494	1475	14
3992	4370	16
3992	1377	5
3992	2280	5
3992	3774	3
3992	1888	3
3992	587	5
3992	174	3
3992	4276	3
3992	1400	3
737	622	3
737	2688	4
737	3921	4
2487	2217	12
2487	3324	3
2487	1888	5
2487	764	3
2487	587	13
4433	3960	3
4433	1848	5
4433	3556	8
4433	2518	3
4433	153	3
4433	4613	3
4433	1025	3
972	2620	3
972	2453	4
972	8	3
3052	230	6
4250	4370	6
4250	2447	6
4250	2620	6
4250	8	3
4250	230	4
4144	1613	4
4144	1184	4
4144	4641	9
4144	658	3
4144	4211	4
4144	5213	3
390	5218	3
390	4276	5
1863	1456	8
1863	598	5
1863	114	3
4135	3324	5
4135	2852	5
4135	5131	11
385	101	7
385	230	9
2394	2385	3
2394	2456	3
2394	903	7
631	2546	3
1822	101	3
1822	4563	4
1822	625	6
3818	2546	15
4056	237	3
2225	2621	8
2225	3556	7
2225	4464	6
2763	3730	17
2763	3637	3
4808	3086	6
4971	2139	5
4971	1106	8
4971	1870	3
4971	288	9
4971	764	13
4971	2574	4
4971	1893	3
4971	4543	3
4971	1613	11
4971	506	3
4971	1614	3
647	1005	4
3101	3839	3
2831	4370	4
2831	5218	3
2429	1577	3
4448	4649	4
4448	3453	8
3456	4668	3
3456	764	5
4719	128	3
982	4937	5
982	3871	3
982	1004	3
982	724	5
1929	4649	4
2217	4510	8
497	4370	15
1764	4397	7
1764	2623	3
1764	472	14
1764	1447	5
3958	515	3
3958	1826	3
3958	230	4
3958	2627	4
394	4149	7
394	989	4
2754	4149	4
1539	515	4
1539	3243	3
4370	2868	3
4370	4025	7
4370	515	5
4370	2070	3
4370	5016	4
4370	1235	6
4370	243	5
4370	1393	3
4370	1377	19
4370	4877	3
4370	2620	13
4370	884	34
4370	4980	5
4370	5218	3
4370	1538	3
4370	4541	3
4370	3774	5
4370	1888	24
4370	1962	4
4370	2141	3
4370	2013	6
4370	1609	7
4370	1227	4
4370	587	13
4370	2470	6
4370	2516	4
4370	425	3
4370	1781	4
4370	1984	3
4370	1574	9
4370	4075	7
4370	4276	4
4370	3457	12
4370	4653	12
4370	3613	7
4370	4974	4
4370	1636	3
4370	4568	7
4370	1881	3
4370	3522	11
4370	388	8
1586	3677	5
730	918	5
4959	1854	105
4959	4203	3
4959	1386	4
4959	1580	3
4959	3688	3
4959	1232	7
4959	4945	8
48	3961	3
2139	4635	3
2819	477	6
5030	11	5
5030	1166	3
1950	4619	3
1028	1802	3
3783	2620	6
3783	4654	6
3783	101	3
2935	1854	3
2935	3985	3
5252	1854	99
5252	4865	3
5252	5001	4
5252	3721	5
5252	4224	3
5252	1212	3
5252	892	3
5252	488	3
5252	2542	20
4814	2080	3
4814	1866	30
4814	2006	12
4814	3426	6
4814	2305	3
4814	5001	4
4814	91	8
4814	3493	5
4814	4337	3
4814	1049	6
4814	4813	7
4814	628	3
4814	3001	4
4814	3730	3
4814	3200	3
4814	4670	5
4814	5039	3
4814	432	4
4814	3189	3
4814	106	7
4814	1614	4
4814	4961	4
4814	1328	3
4814	3519	3
5032	1854	8
5032	3389	18
5032	1532	7
5032	3807	3
5032	2917	14
5032	74	7
5032	8	6
5032	1002	3
5032	4326	5
5032	585	3
5032	4568	18
5032	4528	4
5032	4122	54
1082	2284	4
1082	1382	7
1082	1377	3
1082	2892	4
4025	3961	3
4025	574	3
3885	992	9
3885	488	3
3885	2309	5
3885	2542	4
2536	2943	3
2536	4697	6
5237	1773	3
5237	1802	10
1854	4203	3
1854	4949	3
1854	3894	4
1854	45	4
1854	836	3
1854	8	21
1854	1475	3
1854	875	3
1854	323	3
1854	200	3
1854	1238	3
1854	2456	3
1854	3230	4
1854	1232	7
1854	3054	3
1854	1181	3
1854	4067	3
1742	1387	3
2100	2718	12
2100	91	6
2100	23	15
1774	3366	3
854	1108	5
854	5075	3
854	1086	3
2871	2984	6
3690	3250	3
3690	1441	3
2174	441	4
2174	74	4
2174	365	3
128	5233	22
433	764	12
2284	1382	9
2284	5131	9
2284	3270	7
2284	2918	3
624	5188	11
624	933	3
624	1596	22
624	2860	3
398	4931	3
398	3774	4
398	4394	3
3366	3595	5
3366	3957	4
3366	4582	4
3366	5192	4
3366	2880	4
3366	1360	18
3366	4199	3
3366	2718	11
3366	2114	3
3366	4152	8
3366	5131	3
3366	364	15
3366	2303	8
3366	5224	5
3366	4241	10
3366	933	4
3366	3368	3
3366	2997	27
1653	2883	3
2467	3728	4
1477	4563	5
1187	2544	3
1187	2357	3
685	402	3
2517	3389	5
4097	1344	3
5085	441	3
5085	91	12
5085	3060	12
5085	1232	3
5085	2126	8
5085	4211	4
5085	3150	5
427	2083	3
427	2718	3
427	72	8
427	5251	9
427	3085	3
427	4998	5
427	2724	4
3954	2516	3
5022	2305	3
5022	4654	9
5022	764	3
4191	1386	7
4191	3703	3
4191	103	4
4649	4149	21
4649	1110	5
4649	4875	3
4649	4919	22
